Epoch:1	 Step:1	 TrainedSample:128	 TotalSample:50000	 Loss:0.003
Epoch:1	 Step:31	 TrainedSample:3968	 TotalSample:50000	 Loss:0.003
Epoch:1	 Step:61	 TrainedSample:7808	 TotalSample:50000	 Loss:0.002
Epoch:1	 Step:91	 TrainedSample:11648	 TotalSample:50000	 Loss:0.003
Epoch:1	 Step:121	 TrainedSample:15488	 TotalSample:50000	 Loss:0.003
Epoch:1	 Step:151	 TrainedSample:19328	 TotalSample:50000	 Loss:0.006
Epoch:1	 Step:181	 TrainedSample:23168	 TotalSample:50000	 Loss:0.003
Epoch:1	 Step:211	 TrainedSample:27008	 TotalSample:50000	 Loss:0.004
Epoch:1	 Step:241	 TrainedSample:30848	 TotalSample:50000	 Loss:0.003
Epoch:1	 Step:271	 TrainedSample:34688	 TotalSample:50000	 Loss:0.002
Epoch:1	 Step:301	 TrainedSample:38528	 TotalSample:50000	 Loss:0.003
Epoch:1	 Step:331	 TrainedSample:42368	 TotalSample:50000	 Loss:0.003
Epoch:1	 Step:361	 TrainedSample:46208	 TotalSample:50000	 Loss:0.004
Epoch:1	 Step:391	 TrainedSample:50000	 TotalSample:50000	 Loss:0.002
Epoch:2	 Step:1	 TrainedSample:128	 TotalSample:50000	 Loss:0.002
Epoch:2	 Step:31	 TrainedSample:3968	 TotalSample:50000	 Loss:0.002
Epoch:2	 Step:61	 TrainedSample:7808	 TotalSample:50000	 Loss:0.002
Epoch:2	 Step:91	 TrainedSample:11648	 TotalSample:50000	 Loss:0.010
Epoch:2	 Step:121	 TrainedSample:15488	 TotalSample:50000	 Loss:0.002
Epoch:2	 Step:151	 TrainedSample:19328	 TotalSample:50000	 Loss:0.002
Epoch:2	 Step:181	 TrainedSample:23168	 TotalSample:50000	 Loss:0.003
Epoch:2	 Step:211	 TrainedSample:27008	 TotalSample:50000	 Loss:0.002
Epoch:2	 Step:241	 TrainedSample:30848	 TotalSample:50000	 Loss:0.003
Epoch:2	 Step:271	 TrainedSample:34688	 TotalSample:50000	 Loss:0.027
